accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0429-G,sun,high,pseudohypo,2.922445931854238,-2.5401293235447597,0.12557588923,0.007229726506364667,4.8861804805,0.004696186012718809
LA0429-H,sun,low,amphi,3.0518527066719856,-2.6394667452211955,0.48513107465,0.00997834657460428,5.2313932045,0.004543218020933567
LA0429-H,sun,high,amphi,3.0518527066719856,-1.8498269406142844,0.36043740317,0.011169064300418361,5.3101288546,0.0063556604253201575
LA0429-H,sun,low,pseudohypo,2.940144727297625,-2.283575687480302,0.27441788129,0.013657730947824428,5.1971993912,0.00840601550375515
LA0429-H,sun,high,pseudohypo,2.940144727297625,-1.1826259538087163,0.37155158506,0.007956576031313473,5.4241671802,0.004236133583082781
LA0429-I,shade,low,amphi,2.7658158722974133,-2.3616238428743372,-0.19695619309,0.022905057212592644,6.1207180834,0.04078427169011404
LA0429-I,shade,high,amphi,2.7658158722974133,-2.5100502351550436,0.030287469124200002,0.008723212429354229,4.4122231377,0.006885129639136566
LA0429-I,shade,low,pseudohypo,2.674746962027783,-2.5249744047686806,0.14687777773,0.037318586241781374,5.6840121293,0.02614493357444886
LA0429-I,shade,high,pseudohypo,2.674746962027783,-2.1144328462374227,0.061217619870000003,0.003494191318386604,4.705888373,0.0026046148563887827
LA0429-J,shade,low,amphi,2.9806430282246437,-2.0561992416120916,0.04563982258695,0.021748454775299634,5.0881333323,0.012990716932611161
LA0429-J,shade,high,amphi,2.9806430282246437,-1.8074474565388254,0.2005200478,0.007312714749825342,5.1041907873,0.005103750226582803
LA0429-J,shade,low,pseudohypo,2.8667476458904746,-1.8932491783645393,-0.0778657137365,0.024256763496858867,5.2737675908,0.0245452569849434
LA0429-J,shade,high,pseudohypo,2.8667476458904746,-1.6763130876564336,0.24898518324,0.007069214997241441,4.9552996599,0.004353214537926574
LA0429-K,sun,low,amphi,3.175883424791236,-4.130911100516457,-0.09153454679468,0.027625225455114828,4.2233955601,0.023097641538500836
LA0429-K,sun,high,amphi,3.175883424791236,-2.294839645634059,0.48602939096,0.010941316829695633,5.0165547355,0.005332656272717449
LA0429-K,sun,low,pseudohypo,3.0277260543687734,-3.8125675575306985,0.0317952509149,0.00782335865514396,4.479383043,0.006161165973523549
LA0429-K,sun,high,pseudohypo,3.0277260543687734,-2.6417912340722536,0.13746646318,0.009565069320094596,4.5192474222,0.006743144528747894
LA0429-L,shade,low,amphi,2.8228595480821617,-2.6688928310872857,0.38403244444,0.03190219608209284,5.3261824462,0.01649132170859515
LA0429-L,shade,high,amphi,2.8228595480821617,-1.8860473583009092,0.2000384059,0.02578670859792731,5.6934961616,0.014915503201185978
LA0429-L,shade,low,pseudohypo,2.7656677502149574,-2.8321422118514237,0.51148928887,0.03929136345102552,5.4058092133,0.017676094027437726
LA0429-L,shade,high,pseudohypo,2.7656677502149574,-1.905178349625938,0.10307753923061,0.046995610736128554,6.0311985317,0.029866617576764225
LA0429-M,shade,low,amphi,2.7346225445696968,-2.274292576466067,-0.18990570017,0.02901005967521869,5.4722198184,0.03127680580830035
LA0429-M,shade,high,amphi,2.7346225445696968,-1.8675008076390232,-0.142941063197,0.025023205239143094,5.2445007907,0.029778192799281043
LA0429-M,shade,low,pseudohypo,2.686015895655362,-2.3819712171564906,-0.22956710867,0.026649015154656543,5.4555826459,0.036341484342635864
LA0429-M,shade,high,pseudohypo,2.686015895655362,-1.9489215904319532,-0.192479412909,0.03400898707115206,5.0586914162,0.03565054189272222
LA0429-N,shade,low,amphi,2.771505739030733,-2.9297780029219753,0.08643285289498,0.051599408862659894,5.7329125135,0.04137821179275242
LA0429-N,shade,high,amphi,2.771505739030733,-2.430143807182485,-0.21569036454,0.03285604521745214,4.9258332121,0.04158377508180414
LA0429-N,shade,low,pseudohypo,2.740201346162555,-2.730868651348033,0.27874778443,0.04741374097816869,5.44712638,0.03204080861532186
LA0429-N,shade,high,pseudohypo,2.740201346162555,-2.1765133867230073,-0.235597208816,0.03959521995390444,5.7390490196,0.09443449954162066
LA0429-O,shade,low,amphi,2.745810993388217,-2.4228449189447296,-0.17221081487,0.019470248735212487,5.3132462067,0.019479234606756768
LA0429-O,shade,high,amphi,2.745810993388217,-2.192278581494343,-1.4422708861300024e-4,0.019794519107780285,4.9855008853,0.016187383014164478
LA0429-O,shade,low,pseudohypo,2.7017166140646824,-2.0591879297185707,-0.105445106155,0.03326664676048098,5.2761272909,0.03374423968680209
LA0429-O,shade,high,pseudohypo,2.7017166140646824,-2.388822421476412,-0.14274219884,0.02631168493871103,4.9288347733,0.02734562410888335
LA0429-P,sun,low,amphi,2.9671889732464383,-4.353082963965565,-0.02670444173003,0.012716962410875596,4.7555314571,0.012966723604472508
LA0429-P,sun,high,amphi,2.9671889732464383,-2.842496865165918,0.33519532641,0.01473300071972746,5.1349964026,0.007888735684197333
LA0429-P,sun,low,pseudohypo,2.9170412978295133,-4.10564893916437,0.131214171515,0.012973379739652529,4.7191071508,0.008954362886919988
LA0429-P,sun,high,pseudohypo,2.9170412978295133,-3.0477199252909375,0.22515138936,0.020874068095340353,4.9755751709,0.013730850466982362
LA0429-Q,sun,low,amphi,2.783455400012243,-2.7919065210971454,0.1735177825,0.011908848722730457,4.9227204536,0.007631618833765922
LA0429-Q,sun,high,amphi,2.783455400012243,-2.5959140942730388,0.22201653023,0.010698620673507589,4.9830751876,0.00671950511083523
LA0429-Q,sun,low,pseudohypo,2.6904030305214763,-3.1464726863330115,0.070365630819,0.009779158267588222,4.6972895046,0.007349586810955464
