accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA0407,shade,amphi,high,10,gcl,16.140189083760873,15.536171214670645,16.781550668840154
LA0407,shade,amphi,low,10,gcl,16.091270098117242,15.427131121883974,16.71173276214462
LA0407,shade,pseudohypo,high,10,gcl,16.869433800715367,16.181889532568107,17.497108711604856
LA0407,shade,pseudohypo,low,10,gcl,16.875684096689675,16.1928497929497,17.552969697857314
LA0407,sun,amphi,high,8,gcl,17.89041940876215,17.187939618442947,18.611094915191373
LA0407,sun,amphi,low,8,gcl,17.809630245057345,17.06957042594442,18.535036473158925
LA0407,sun,pseudohypo,high,8,gcl,19.339271475435492,18.547205030666856,20.06729415318416
LA0407,sun,pseudohypo,low,8,gcl,19.326140518366493,18.55025668455452,20.096054795118697
LA0429,shade,amphi,high,11,gcl,16.829131214862457,16.33571695883399,17.289694004024977
LA0429,shade,amphi,low,11,gcl,16.93276085382757,16.386107517589494,17.490857879644558
LA0429,shade,pseudohypo,high,11,gcl,17.892119607156577,17.37673196635816,18.40625199704399
LA0429,shade,pseudohypo,low,11,gcl,17.834377840250433,17.330269570636254,18.34269485880499
LA0429,sun,amphi,high,10,gcl,18.65715019337509,18.12262116666267,19.191005333446192
LA0429,sun,amphi,low,10,gcl,18.738525560881957,18.164682554446024,19.3273589433464
LA0429,sun,pseudohypo,high,10,gcl,20.48577809655601,19.92738292389129,21.06079712037795
LA0429,sun,pseudohypo,low,10,gcl,20.404978649080896,19.835574831760788,21.025206066950485
LA0436,shade,amphi,high,8,gcl,16.72217179053905,16.226830468371663,17.196311553346415
LA0436,shade,amphi,low,8,gcl,16.87562436531153,16.33261780294565,17.419082815430006
LA0436,shade,pseudohypo,high,8,gcl,17.78026726055386,17.27616785186671,18.29104361779877
LA0436,shade,pseudohypo,low,8,gcl,17.76653997295285,17.21298629433721,18.256238121503344
LA0436,sun,amphi,high,10,gcl,18.53980050812016,18.003263652706302,19.048617296927564
LA0436,sun,amphi,low,8,gcl,18.67993348436142,18.12098656273949,19.25997410552561
LA0436,sun,pseudohypo,high,10,gcl,20.392317524798845,19.812795245350642,20.928428687791783
LA0436,sun,pseudohypo,low,8,gcl,20.34227514768357,19.745464271842554,20.91675124141767
LA0444,shade,amphi,high,9,gcl,17.539111762792814,16.871519210925022,18.23751441403381
LA0444,shade,amphi,low,10,gcl,17.200994983083902,16.4835475900274,17.907292106655774
LA0444,shade,pseudohypo,high,9,gcl,18.066460079534473,17.34524598121958,18.761819243001703
